rgn_id,year,score,
57,2021,0.737123099,
57,2022,0.733109749,
58,2012,0.790044361,
58,2013,0.786106816,
58,2014,0.782169271,
58,2015,0.778231727,
58,2016,0.774294182,
58,2017,0.770356637,
58,2018,0.766419092,
58,2019,0.762481548,
58,2020,0.758544003,
58,2021,0.754606458,
58,2022,0.750668913,
59,2012,0.852726248,
59,2013,0.850659266,
59,2014,0.848592285,
59,2015,0.846525303,
59,2016,0.844458322,
59,2017,0.842391341,
59,2018,0.840324359,
59,2019,0.838257378,
59,2020,0.836190396,
59,2021,0.834123415,
59,2022,0.832056433,
60,2012,0.763423798,
60,2013,0.758212477,
60,2014,0.753001156,
60,2015,0.747789836,
60,2016,0.742578515,
60,2017,0.737367194,
60,2018,0.732155873,
60,2019,0.726944553,
60,2020,0.721733232,
60,2021,0.716521911,
60,2022,0.71131059,
61,2012,0.74233468,
61,2013,0.737074635,
61,2014,0.731814589,
61,2015,0.726554544,
61,2016,0.721294498,
61,2017,0.716034453,
61,2018,0.710774407,
61,2019,0.705514362,
61,2020,0.700254316,
61,2021,0.694994271,
61,2022,0.689734225,
62,2012,0.787775074,
62,2013,0.783488743,
62,2014,0.779202412,
62,2015,0.774916082,
62,2016,0.770629751,
62,2017,0.76634342,
62,2018,0.76205709,
62,2019,0.757770759,
62,2020,0.753484429,
62,2021,0.749198098,
62,2022,0.744911767,
63,2012,0.788870553,
63,2013,0.785411179,
63,2014,0.781951805,
63,2015,0.778492431,
63,2016,0.775033057,
63,2017,0.771573683,
63,2018,0.768114309,
63,2019,0.764654935,
63,2020,0.761195561,
63,2021,0.757736187,
63,2022,0.754276813,
64,2012,0.794816813,
64,2013,0.791711333,
64,2014,0.788605852,
64,2015,0.785500372,
64,2016,0.782394892,
64,2017,0.779289412,
64,2018,0.776183931,
64,2019,0.773078451,
64,2020,0.769972971,
64,2021,0.76686749,
64,2022,0.76376201,
65,2012,0.794500047,
65,2013,0.7916984,
65,2014,0.788896754,
65,2015,0.786095107,
65,2016,0.783293461,
65,2017,0.780491814,
65,2018,0.777690168,
65,2019,0.774888521,
65,2020,0.772086875,
65,2021,0.769285228,
65,2022,0.766483582,
66,2012,0.788092219,
66,2013,0.785115869,
66,2014,0.782139519,
66,2015,0.779163168,
66,2016,0.776186818,
66,2017,0.773210468,
66,2018,0.770234118,
66,2019,0.767257768,
66,2020,0.764281418,
66,2021,0.761305068,
66,2022,0.758328718,
67,2012,0.676935294,
67,2013,0.669797745,
67,2014,0.662660197,
67,2015,0.655522649,
67,2016,0.6483851,
67,2017,0.641247552,
67,2018,0.634110004,
67,2019,0.626972455,
67,2020,0.619834907,
67,2021,0.612697359,
67,2022,0.605559811,
68,2012,0.677795203,
68,2013,0.671453135,
68,2014,0.665111066,
68,2015,0.658768998,
68,2016,0.65242693,
68,2017,0.646084861,
68,2018,0.639742793,
68,2019,0.633400725,
68,2020,0.627058657,
68,2021,0.620716588,
68,2022,0.61437452,
69,2012,0.936939271,
69,2013,0.933481538,
69,2014,0.930023805,
69,2015,0.926566072,
69,2016,0.923108339,
69,2017,0.919650606,
69,2018,0.916192874,
69,2019,0.912735141,
69,2020,0.909277408,
69,2021,0.905819675,
69,2022,0.902361942,
70,2012,0.937240399,
70,2013,0.934147349,
70,2014,0.931054299,
70,2015,0.92796125,
70,2016,0.9248682,
70,2017,0.92177515,
70,2018,0.9186821,
70,2019,0.91558905,
70,2020,0.912496,
70,2021,0.90940295,
70,2022,0.9063099,
