"rgn_id","habitat","extent_rank","layer"
112,"saltmarsh",1.0095554783206,"element_wts_cp_km2_x_protection"
120,"saltmarsh",0.336518492773533,"element_wts_cp_km2_x_protection"
129,"saltmarsh",0.673036985547066,"element_wts_cp_km2_x_protection"
130,"saltmarsh",0.673036985547066,"element_wts_cp_km2_x_protection"
131,"saltmarsh",0.336518492773533,"element_wts_cp_km2_x_protection"
139,"saltmarsh",1.34607397109413,"element_wts_cp_km2_x_protection"
145,"saltmarsh",1.68259246386767,"element_wts_cp_km2_x_protection"
153,"saltmarsh",0.336518492773533,"element_wts_cp_km2_x_protection"
155,"saltmarsh",0.673036985547066,"element_wts_cp_km2_x_protection"
168,"saltmarsh",0.336518492773533,"element_wts_cp_km2_x_protection"
178,"saltmarsh",3.0286664349618,"element_wts_cp_km2_x_protection"
189,"saltmarsh",0.336518492773533,"element_wts_cp_km2_x_protection"
190,"saltmarsh",1.0095554783206,"element_wts_cp_km2_x_protection"
191,"saltmarsh",2.0191109566412,"element_wts_cp_km2_x_protection"
200,"saltmarsh",1.34607397109413,"element_wts_cp_km2_x_protection"
202,"saltmarsh",0.336518492773533,"element_wts_cp_km2_x_protection"
203,"saltmarsh",2.35562944941473,"element_wts_cp_km2_x_protection"
210,"saltmarsh",3.0286664349618,"element_wts_cp_km2_x_protection"
214,"saltmarsh",2.35562944941473,"element_wts_cp_km2_x_protection"
223,"saltmarsh",2.35562944941473,"element_wts_cp_km2_x_protection"
1,"coral",513.4714536,"element_wts_cp_km2_x_protection"
2,"coral",10.47900926,"element_wts_cp_km2_x_protection"
5,"coral",18233.476112,"element_wts_cp_km2_x_protection"
6,"coral",2783.9234596,"element_wts_cp_km2_x_protection"
7,"coral",11460.543128,"element_wts_cp_km2_x_protection"
8,"coral",2039.9138024,"element_wts_cp_km2_x_protection"
9,"coral",12599.262132,"element_wts_cp_km2_x_protection"
10,"coral",24.451021604,"element_wts_cp_km2_x_protection"
11,"coral",8023.428088,"element_wts_cp_km2_x_protection"
12,"coral",41.91603704,"element_wts_cp_km2_x_protection"
13,"coral",862.7717624,"element_wts_cp_km2_x_protection"
14,"coral",1526.4423488,"element_wts_cp_km2_x_protection"
15,"coral",48294.26068,"element_wts_cp_km2_x_protection"
16,"coral",128137.3252,"element_wts_cp_km2_x_protection"
17,"coral",29480.946048,"element_wts_cp_km2_x_protection"
18,"coral",13371.215816,"element_wts_cp_km2_x_protection"
19,"coral",3541.9051296,"element_wts_cp_km2_x_protection"
24,"coral",234.0312068,"element_wts_cp_km2_x_protection"
25,"coral",954.7648,"element_wts_cp_km2_x_protection"
26,"coral",3157.67479,"element_wts_cp_km2_x_protection"
28,"coral",866.2647656,"element_wts_cp_km2_x_protection"
29,"coral",1219.0580772,"element_wts_cp_km2_x_protection"
30,"coral",667.1635896,"element_wts_cp_km2_x_protection"
31,"coral",5969.542276,"element_wts_cp_km2_x_protection"
32,"coral",52.39504628,"element_wts_cp_km2_x_protection"
33,"coral",230.53820368,"element_wts_cp_km2_x_protection"
34,"coral",129.2411142,"element_wts_cp_km2_x_protection"
35,"coral",48.9020432,"element_wts_cp_km2_x_protection"
36,"coral",24.451021604,"element_wts_cp_km2_x_protection"
37,"coral",2930.6295896,"element_wts_cp_km2_x_protection"
38,"coral",7261.953416,"element_wts_cp_km2_x_protection"
39,"coral",10995.973716,"element_wts_cp_km2_x_protection"
40,"coral",436.6253856,"element_wts_cp_km2_x_protection"
41,"coral",6821.835028,"element_wts_cp_km2_x_protection"
42,"coral",9741.985608,"element_wts_cp_km2_x_protection"
43,"coral",1676.6414816,"element_wts_cp_km2_x_protection"
44,"coral",1617.2604288,"element_wts_cp_km2_x_protection"
45,"coral",6255.968528,"element_wts_cp_km2_x_protection"
46,"coral",971.054858,"element_wts_cp_km2_x_protection"
47,"coral",2630.231324,"element_wts_cp_km2_x_protection"
48,"coral",1065.3659412,"element_wts_cp_km2_x_protection"
49,"coral",2521.9482284,"element_wts_cp_km2_x_protection"
50,"coral",13668.121076,"element_wts_cp_km2_x_protection"
51,"coral",300.39826544,"element_wts_cp_km2_x_protection"
52,"coral",838.3207408,"element_wts_cp_km2_x_protection"
54,"coral",447.1043952,"element_wts_cp_km2_x_protection"
79,"coral",3.493003088,"element_wts_cp_km2_x_protection"
102,"coral",6.986006172,"element_wts_cp_km2_x_protection"
107,"coral",17.465015432,"element_wts_cp_km2_x_protection"
108,"coral",2123.7458764,"element_wts_cp_km2_x_protection"
110,"coral",9001.468952,"element_wts_cp_km2_x_protection"
111,"coral",771.953682,"element_wts_cp_km2_x_protection"
112,"coral",10632.701396,"element_wts_cp_km2_x_protection"
113,"coral",541.4154784,"element_wts_cp_km2_x_protection"
114,"coral",1372.7502128,"element_wts_cp_km2_x_protection"
115,"coral",1299.397148,"element_wts_cp_km2_x_protection"
116,"coral",737.0236512,"element_wts_cp_km2_x_protection"
117,"coral",520.45746,"element_wts_cp_km2_x_protection"
118,"coral",115.26910184,"element_wts_cp_km2_x_protection"
119,"coral",181.63616048,"element_wts_cp_km2_x_protection"
120,"coral",223.55219752,"element_wts_cp_km2_x_protection"
